source_id,url,fetched_title,claim_id,claim_text,overlap_score,note
cmpfqyxwu3o3cpltqkyn0zvtb,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62996,alpha-D-GlcNAc-(1->2)-beta-D-Glc-(1->4)-[beta-D-Glc-(1->3)]-[alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-alpha-D-Glc-(1->2)-beta-D-Glc-(1->6)]-alpha-D-Glc-(1->5)-[alpha-D-Kdo-(2->4)]-alpha-D-Kdo-(2->6)-Lipid A (CHEBI:62996),cmpfqyxxw3o3dpltqfidsjg4n,α-<small>D</small>-GlcNAc-(1→2)-β-<small>D</small>-Glc-(1→4)-[β-<small>D</small>-Glc-(1→3)]-[α-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Gal-(1→4)-α-<small>D</small>-Glc-(1→2)-β-<small>D</small>-G,0.09,page title has low overlap with claim
cmpfqyy633o3opltq6ij3kjk8,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62998,alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-alpha-D-GlcNAc-(1->2)-beta-D-Glc-(1->4)-[beta-D-Glc-(1->3)]-[alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-alpha-D-Glc-(1->2)-beta-D-Glc-(1->6)]-alpha-D-Glc-(1->5)-[alpha-D-Kdo-(2->4)]-alpha-D-Kdo-(2->6)-Lipid A (CHEBI:62998),cmpfqyy773o3ppltq779dqh59,α-<small>D</small>-Gal-(1→4)-β-<small>D</small>-Gal-(1→4)-α-<small>D</small>-GlcNAc-(1→2)-β-<small>D</small>-Glc-(1→4)-[β-<small>D</small>-Glc-(1→3)]-[α-<small>D</small>-Gal-(1→4)-β-<small>D</small>-G,0.09,page title has low overlap with claim
cmpfr0ted3qeipltq7ofc1tiy,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63520,alpha-NeuNAc-(2->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-Gal6S-(1->4)-beta-D-GlcNAc6S-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-yl group (CHEBI:63520),cmpfr0tfg3qejpltqvxpot1xc,α-NeuNAc-(2→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-GlcNAc-(1→2)-α-<small>D</small>-Man-(1→3)-[β-<small>D</small>-Gal6S-(1→4)-β-<small>D</small>-GlcNAc6S-(1→3)-β-<small>D</small>-Gal-(1→4)-,0.09,page title has low overlap with claim
cmpfr0tnq3qeupltqdr5zay1w,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63522,alpha-NeuNAc-(2->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-Gal-(1->4)-beta-D-GlcNAc6S-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-yl group (CHEBI:63522),cmpfr0tov3qevpltqhnkg7vsa,α-NeuNAc-(2→3)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-GlcNAc-(1→2)-α-<small>D</small>-Man-(1→3)-[β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-GlcNAc6S-(1→3)-β-<small>D</small>-Gal-(1→4)-β-,0.09,page title has low overlap with claim
cmpfr1cbz3r10pltq104ztn3i,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63669,"beta-D-IdoA-(1->4)-alpha-D-GlcNS3,6S2-(1->4)-beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group (CHEBI:63669)",cmpfr1cd43r11pltqlvah0ylf,"β-<small>D</small>-IdoA-(1→4)-α-<small>D</small>-GlcN<em>S</em>3,6<em>S</em><small><sub>2</sub></small>-(1→4)-β-<small>D</small>-IdoA2<em>S</em>-(1→4)-α-<small>D</small>-GlcN<em>S</em>3<em>S</em>-(1→4",0.09,page title has low overlap with claim
cmpfr8rpm3zgcpltqjpsc4wrn,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65625,"3beta-[(O-beta-D-glucopyranosyl-(1->4)-O-beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranosyl)oxy]-17alpha-hydroxy-16beta-[(O-(2-O-3,4-dimethoxybenzoyl-beta-D-xylopyranosyl)-(1->3)-2-O-acetyl-alpha-L-arabinopyranosyl)oxy]cholest-5-en-22-one (CHEBI:65625)",cmpfr8rqr3zgdpltqovyp99o2,"3β-[(<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→4)-<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→6)-β-<small>D</small>-glucopyranosyl)oxy]-17α-hydroxy-16β-[(<em>O</em>-(2-<em>O</em>-3,4-dimetho",0.09,page title has low overlap with claim
cmpfr8rzw3zgopltqwk5w0tj3,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65627,"3beta-[(O-beta-D-glucopyranosyl-(1->4)-O-beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranosyl)oxy]-17alphahydroxy-16beta-[(O-(3-O-3,4-dimethoxybenzoyl-beta-D-xylopyranosyl)-(1->3)-2-O-acetyl-alpha-L-arabinopyranosyl)oxy]cholest-5-en-22-one (CHEBI:65627)",cmpfr8s113zgppltqs0qcg3pg,"3β-[(<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→4)-<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→6)-β-<small>D</small>-glucopyranosyl)oxy]-17αhydroxy-16β-[(<em>O</em>-(3-<em>O</em>-3,4-dimethox",0.09,page title has low overlap with claim
cmpfr8rul3zgipltqea2n7a6c,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65626,"3beta-[(O-beta-D-glucopyranosyl-(1->4)-O-beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranosyl)oxy]-17alpha-hydroxy-16beta-[(O-(2-O-3,4,5-trimethoxybenzoyl-beta-D-xylopyranosyl)-(1->3)-2-O-acetyl-alpha-L-arabinopyranosyl)oxy]cholest-5-en-22-one (CHEBI:65626)",cmpfr8rvq3zgjpltqajmnl1ks,"3β-[(<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→4)-<em>O</em>-β-<small>D</small>-glucopyranosyl-(1→6)-β-<small>D</small>-glucopyranosyl)oxy]-17α-hydroxy-16β-[(<em>O</em>-(2-<em>O</em>-3,4,5-trime",0.09,page title has low overlap with claim
cmpfrrft94lcopltqursumr6v,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72649,cyanidin 3-O-[6-O-(4-O-beta-D-glucosyl-p-coumaroyl)-2-O-(2-O-sinapoyl-beta-D-xylosyl)-beta-D-glucosyl]-5-O-(6-O-malonyl-beta-D-glucoside)(1-) (CHEBI:72649),cmpfrrfuq4lcppltq5q67l65m,cyanidin 3-<em>O</em>-[6-<em>O</em>-(4-<em>O</em>-β-<small>D</small>-glucosyl-<em>p</em>-coumaroyl)-2-<em>O</em>-(2-<em>O</em>-sinapoyl-β-<small>D</small>-xylosyl)-β-<small>D</small>-glucosyl]-5-<em>O,0.09,page title has low overlap with claim
cmpfrrfz44lcupltqi8but9f0,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72650,cyanidin 3-O-[6-O-(4-O-beta-D-glucosyl-p-coumaroyl)-2-O-(beta-D-xylosyl)-beta-D-glucosyl]-5-O-(6-O-malonyl-beta-D-glucoside)(1-) (CHEBI:72650),cmpfrrg0m4lcvpltqwaf6ude4,cyanidin 3-<em>O</em>-[6-<em>O</em>-(4-<em>O</em>-β-<small>D</small>-glucosyl-<em>p</em>-coumaroyl)-2-<em>O</em>-(β-<small>D</small>-xylosyl)-β-<small>D</small>-glucosyl]-5-<em>O</em>-(6-<em>O</em>-ma,0.09,page title has low overlap with claim
cmpfrrmlr4lk0pltqeg2ewqd9,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72696,cyanidin 3-O-[6-O-(4-O-beta-D-glucosyl-p-coumaroyl)-2-O-(2-O-sinapoyl-beta-D-xylosyl)-beta-D-glucosyl]-5-O-(6-O-malonyl-beta-D-glucoside) (CHEBI:72696),cmpfrrmn04lk1pltqfbs5e4ru,cyanidin 3-<em>O</em>-[6-<em>O</em>-(4-<em>O</em>-β-<small>D</small>-glucosyl-<em>p</em>-coumaroyl)-2-<em>O</em>-(2-<em>O</em>-sinapoyl-β-<small>D</small>-xylosyl)-β-<small>D</small>-glucosyl]-5-<em>O,0.09,page title has low overlap with claim
cmpfrrout4llipltqi21at42z,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72705,cyanidin 3-O-[6-O-(4-O-beta-D-glucosyl-p-coumaroyl)-2-O-(beta-D-xylosyl)-beta-D-glucosyl]-5-O-(6-O-malonyl-beta-D-glucoside) (CHEBI:72705),cmpfrrovz4lljpltqhcd2ybrc,cyanidin 3-<em>O</em>-[6-<em>O</em>-(4-<em>O</em>-β-<small>D</small>-glucosyl-<em>p</em>-coumaroyl)-2-<em>O</em>-(β-<small>D</small>-xylosyl)-β-<small>D</small>-glucosyl]-5-<em>O</em>-(6-<em>O</em>-ma,0.09,page title has low overlap with claim
cmpfrwf704qi0pltqokay45h1,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73844,N(4)-{alpha-Neu5Ac-(2->6)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[alpha-Neu5Ac-(2->6)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-[alpha-L-Fuc-(1->6)]-D-GlcNAc}-L-Asn residue (CHEBI:73844),cmpfrwf8c4qi1pltqkjnr1owu,<em>N</em><small><sup>4</small></sup>-{α-Neu5Ac-(2→6)-β-<small>D</small>-Gal-(1→4)-β-<small>D</small>-GlcNAc-(1→2)-α-<small>D</small>-Man-(1→3)-[α-Neu5Ac-(2→6)-β-<small>D</small>-Gal-(1→4)-β-<small>D<,0.09,page title has low overlap with claim
cmpfsn3y45necpltqub0mb89c,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84078,beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->4)-[alpha-D-GlcpNAc-(1->2)-3-PEA-L-alpha-D-Hepp-(1->3)]-L-alpha-D-Hepp-(1->5)-alpha-Kdo-(2->6)-(de-O-acylated lipid A) (CHEBI:84078),cmpfsn3z85nedpltqvl1tpxjm,β-<small>D</small>-Gal<em>p</em>-(1→4)-β-<small>D</small>-Glc<em>p</em>NAc-(1→3)-β-<small>D</small>-Gal<em>p</em>-(1→4)-β-<small>D</small>-Glc<em>p</em>-(1→4)-[α-<small>D</small>-Glc<em>p</em>NAc-(1→2,0.08,page title has low overlap with claim
cmpfssrm95udopltq1s0vyckk,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85677,alpha-Neup5Ac-(2->3)-beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->4)-[alpha-Neup5Ac-(2->3)]-beta-D-Galp-(1->3)-L-alpha-D-Hepp-(1->3)-[beta-D-Glcp-(1->4)]-L-alpha-D-Hepp6PEtn-(1->5)-[alpha-D-Kdo-(2->4)]-alpha-D-Kdo-(2->6)-lipid A (CHEBI:85677),cmpfssrnd5udppltql4qcl8to,α-Neu<em>p</em>5Ac-(2→3)-β-<small>D</small>-Gal<em>p</em>-(1→3)-β-<small>D</small>-Gal<em>p</em>NAc-(1→4)-[α-Neu<em>p</em>5Ac-(2→3)]-β-<small>D</small>-Gal<em>p</em>-(1→3)-<small>L</small>-α-<small>D<,0.09,page title has low overlap with claim
cmpft9pgn6fqopltqbzw4rkye,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:132209,alpha-Neup5Ac-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)-[alpha-Neup5-Ac-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-[alpha-L-Fucp-(1->6)]-D-GlcpNAc-yl group (CHEBI:132209),cmpft9phw6fqppltq4z9837vt,α-Neu<em>p</em>5Ac-(2→6)-β-<small>D</small>-Gal<em>p</em>-(1→4)-β-<small>D</small>-Glc<em>p</em>NAc-(1→2)-α-<small>D</small>-Man<em>p</em>-(1→3)-[α-Neu<em>p</em>5-Ac-(2→6)-β-<small>D</small>-Gal<em>p<,0.09,page title has low overlap with claim
cmpftk8386rgipltq3e63wqb5,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136285,alpha-D-GalN-(1->4)-[alpha-LD-Hep-(1->2)-alpha-DD-Hep-(1->2)]-alpha-D-GalA-(1->3)-[alpha-LD-Hep-(1->7)]-alpha-LD-Hep6PEtn-(1->3)-[beta-D-Glc-(1->4)]-alpha-LD-Hep-(1->5)-[alpha-Kdo-(2->4)][beta-L-Arap4N-(1->8)]-alpha-Kdo-(2->6)-lipid A (CHEBI:136285),cmpftk84d6rgjpltqrolob17y,α-<small>D</small>-GalN-(1→4)-[α-<small>L</small><small>D</small>-Hep-(1→2)-α-<small>D</small><small>D</small>-Hep-(1→2)]-α-<small>D</small>-GalA-(1→3)-[α-<small>L</small><small>D</small>-Hep-(1→7)]-α,0.08,page title has low overlap with claim
cmpftk6ju6reopltq5r40znu8,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136274,alpha-D-GalN-(1->4)-[alpha-DD-Hep-(1->2)]-alpha-D-GalA-(1->3)-[alpha-LD-Hep-(1->7)]-alpha-LD-Hep6PEtn-(1->3)-[beta-D-Glc-(1->4)]-alpha-LD-Hep-(1->5)-[alpha-Kdo-(2->4)][beta-L-Arap4N-(1->8)]-alpha-Kdo-(2->6)-lipid A (CHEBI:136274),cmpftk6ky6reppltqy5q90ede,α-<small>D</small>-GalN-(1→4)-[α-<small>D</small><small>D</small>-Hep-(1→2)]-α-<small>D</small>-GalA-(1→3)-[α-<small>L</small><small>D</small>-Hep-(1→7)]-α-<small>L</small><small>D</small>-Hep6<em>P</,0.08,page title has low overlap with claim
cmpm2i0y80nkbsafwyt5mj6lh,http://digitalcommons.unl.edu/usepapapers/206,"""Embracing panarchy, building resilience and integrating adaptive manag"" by Melinda Harm Benson and Ahjond S. Garmestani",cmpm2i0ys0nkcsafwyple3i01,"Environmental law plays a key role in shaping policy for sustainability of socialeecological systems. In particular, the types of legal instruments, institutions, and the response of law to the inhere",0.08,page title has low overlap with claim
cmpm3krjh15l2safw8mth5gti,http://repub.eur.nl/pub/19572,"RePub, Erasmus University Repository:
  Behavioural Economics in Consumer Policy: The Economic Analysis of Standard Terms in Consumer Contracts Revisited",cmpm3krk015l3safw7f1uxrfp,"Before the credit crisis swept across global economies, affecting all nations and&#13;\nalmost all individuals, rational choice was quite well established as the main paradigm to&#13;\ninform policy m",0.08,page title has low overlap with claim
cmpm67a642dxksafwxdernlty,https://digitalcommons.unl.edu/nlr/vol87/iss4/5,"""Panarchy, Adaptive Management and Governance: Policy Options for Build"" by Ahjond S. Garmestani, Craig R. Allen et al.",cmpm67a6o2dxlsafwpn7qw55e,"Environmental law plays a key role in shaping policy for sustainability. In particular, the types of legal instruments, institutions, and the response of law to the inherent variability in socio-ecolo",0.09,page title has low overlap with claim
cmpm6n4qh2lf2safw4oes8ic0,http://hdl.handle.net/10810/41109,"Online risk, harm and vulnerability : reflections on the evidence base for child Internet safety policy",cmpm6n4qz2lf3safwhb4rkyt2,"Hamarraldi bat edo gehiago eman du ikerkuntzak adingabekoek Interneten aurkitzen dituzten aukera eta arriskuak aztertzen. Hori kontuan izanik, eremu oso eztabaidagarri batean politika sustatzeko infor",0.09,page title has low overlap with claim
cmqeh3cmh000esaeq206cm8yu,https://pubmed.ncbi.nlm.nih.gov/6200936,Frequent detection and isolation of cytopathic retroviruses (HTLV-III) from patients with AIDS and at risk for AIDS.,cmqeh3cjf000asaeq39xebunu,Human immunodeficiency virus (HIV) is the cause of acquired immune deficiency syndrome (AIDS).,0.13,PubMed PMID 6200936: title has low overlap with claim
cmqeh3dnn001psaeqhkqr53py,https://pubmed.ncbi.nlm.nih.gov/13875378,[Hypofibrinogenemia in obstetrics].,cmqeh3dn4001osaeq8js7s2of,"Thalidomide, when taken during pregnancy, causes severe limb malformations (phocomelia) and other birth defects in newborns.",0.00,PubMed PMID 13875378: title has low overlap with claim
cmqeh3e3a002csaeqcc8c6ntu,https://pubmed.ncbi.nlm.nih.gov/18799767,"The promotion and marketing of oxycontin: commercial triumph, public health tragedy.",cmqeh3e0p0028saeqqr6531oe,Prescription opioids prescribed for chronic pain carry less than a 1% risk of addiction in patients with no prior substance abuse history.,0.00,PubMed PMID 18799767: title has low overlap with claim
cmqej8wns0018sa5j04phdpt3,https://pubmed.ncbi.nlm.nih.gov/30028957,How to minimize dye-induced perturbations while studying biomembrane structure and dynamics: PEG linkers as a rational alternative.,cmqej8wl80014sa5j47w9x1gj,"The Black Death (bubonic plague caused by Yersinia pestis) arrived in Europe via Genoese trading ships at Messina, Sicily, in October 1347, killing an estimated 30–60% of Europe's population by 1353.",0.00,PubMed PMID 30028957: title has low overlap with claim
cmqej92id009dsa5j111kcfps,https://pubmed.ncbi.nlm.nih.gov/2783041/,Immunocytochemical detection of proliferating cells in the rat tooth germ by monoclonal antibodies against 5-bromo-2'-deoxyuridine.,cmqej92fd0099sa5jpjmpe8tv,"Alexander Fleming discovered the antibacterial properties of penicillin in September 1928, leading to the development of the first widely effective antibiotic.",0.00,PubMed PMID 2783041: title has low overlap with claim
0018756b-3903-4212-b23c-417a8eac3518,https://doi.org/10.1088/1757-899x/872/1/012029,Solving the problem of optimizing wind farm design using genetic algorithms,92b8360f-5e52-4bfd-85fd-f91d279a6eef,"Abstract Renewable energies have become a topic of great interest in recent years because the natural sources used for the generation of these energies are inexhaustible and non-polluting. In fact, en",0.00,DOI 10.1088/1757-899x/872/1/012029: title has low overlap with claim
0018de55-f5c0-4686-a6e6-482e11d73226,https://doi.org/10.1155/2022/6246576,Intelligent Building Space Layout and Optimization Design Method Based on Biological Population Simulation,003f0606-4d1d-4923-a279-fadb45a900dc,"Smart buildings can store various types of data, analyze data at a faster speed, and quickly provide users with the most accurate and high-quality intelligent services through technical means. The mai",0.09,DOI 10.1155/2022/6246576: title has low overlap with claim
cmpm96lqo3uz6sadnglxf1512,http://ci.nii.ac.jp/ncid/BA29046925,CiNii 図書 - Treating sexually abused children and their nonoffending parents : a cognitive behavioral approach,cmpm96lr83uz7sadnj756sk3i,Introduction Overview of Child Sexual Abuse Overview of the Treatment Model Initiating Therapy Child Intervention Nonoffending Parent Intervention Joint Parent-Child Sessions Conclusion,0.09,page title has low overlap with claim
cmpmanzto4h63saeru12azkpl,https://doaj.org/article/92ee38c4eefc44b3a2ad6b42ba9882e2,Targeted Therapy for Inflammatory Diseases with Mesenchymal Stem Cells and Their Derived Exosomes: From Basic to Clinics – DOAJ,cmpmanzub4h64saeru7uryjso,"Shuo Wang,1 Biyu Lei,1 E Zhang,2 Puyang Gong,1 Jian Gu,1 Lili He,1 Lu Han,1 Zhixiang Yuan1 1College of Pharmacy, Southwest Minzu University, Chengdu, 610041, Sichuan, Peopleâs Republic of China; 2De",0.08,page title has low overlap with claim
cmpmb668z4sjisadnehvrfkaw,https://eric.ed.gov/?id=EJ460420,"ERIC - EJ460420 - A Longitudinal Study of Cognitive Changes in Beginning Teachers: Two Patterns of Learning to Teach., Teacher Education Quarterly, 1992",cmpmb669i4sjjsadndan0xmq7,"Mary-Lynn Lidstone is a member of the faculty, Department of Education, Mills College, Oakland, California, and a doctoral student at the School of Education, University of California, Berkeley; Sandr",0.07,page title has low overlap with claim
cmpoo8evf0nmusawx9a7e2mji,https://doaj.org/article/aa0feef4c13c43f1aeca6a3009fe12bb,Comparison of the efficacy of intradermal injected tranexamic acid vs hydroquinone cream in the treatment of melasma – DOAJ,cmpoo8evz0nmvsawx2kew59jl,"Nader Pazyar,1 Reza Yaghoobi,1 Maryam Zeynalie,2 Samin Vala2 1Dermatology Department, Ahvaz Jundishapur University of Medical Science, Ahvaz, Iran; 2Dermatology Department, Emam Hospital, School of Me",0.09,page title has low overlap with claim
cmponzcqa0jg0sawx6shtkjhk,http://hdl.handle.net/11577/3425152,"Eziopatogenesi e terapia dell&#039;acne:
studio epidemiologico delle caratteristiche cliniche di una popolazione di pazienti affetti da acne e analisi dei polimorfismi del gene codificante per il recettore degli androgeni e del gene codificante per il citocromo P-450 1A1",cmponzcqw0jg1sawx89qheqyf,"Background: Acne vulgaris is a chronic inflammatory disease of the pilosebaceous follicles, which are located on the face, neck, chest, upper back, and upper arms. It is a pleomorphic disorders with m",0.05,page title has low overlap with claim
cmq3xyqmbccqcsavckwi3fgcn,http://www.osti.gov/scitech/biblio/6862535,AFGL (Air Force Geophysical Laboratory) atmospheric constituent profiles (0. 120km). Environmental research papers (Technical Report) | OSTI.GOV,cmq3xyqmuccqdsavczuawobka,"An atmospheric data base consisting of volume-mixing ratios (o0 to 12 okm) for 28 minor and trace gases was assembled for use with spectral-radiance transmittance models. Six reference atmospheres, ea",0.07,page title has low overlap with claim
